,0
18,"('  ', 'TESTE0000001115', 'MERCADORIA 02 BENE            ', 'BN', '                           ', 'PC', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', ' ', '  ', ' ', 'N', '20181207', '20181207', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20181207', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00… 00~ ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 19, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
19,"('  ', 'BCMP00101      ', 'BARRIGADA + OSSO              ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 147.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190113', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 20, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
20,"('  ', 'BCMP00102      ', 'BARRIGADA                     ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190125', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 21, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
21,"('  ', 'BCMP00103      ', 'OSSO BOVINO                   ', 'MP', '                           ', 'KG', '01', 'M001', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 5.0, 0.0, 10.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 5.0, '   ', '   ', 1.0, 'D', 0.0, 15.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190521', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190521', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 22, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
22,"('  ', 'BCMP00104      ', 'VICERAS DE FRANGO             ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', 'BCMP00105      ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'C', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00† 00{ ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 23, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
23,"('  ', 'BCMP00105      ', 'RASPA DE COURO                ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190611', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 24, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
24,"('  ', 'BCMP00106      ', 'PENA                          ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00† 00{ ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 25, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
25,"('  ', 'BCMP00107      ', 'CMS                           ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 138.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190314', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190611', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 26, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
26,"('  ', 'BCMP00108      ', 'PEIXE                         ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190129', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190611', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 27, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
27,"('  ', 'BCMP00109      ', 'VICERAS DE PEIXE              ', 'MP', '                           ', 'KG', '01', '    ', 0.0, 0.0, '02101200  ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'I', '0', '  ', ' ', 'L', '20190129', '20190113', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20190611', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '000001', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00† 00? ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 28, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
