,Estudo,Renda,UF,SEXO,COR,Idade,Altura
56,7,400,RO,F,BRA,45,1.450378572
57,2,1050,RO,M,PAR,60,0.175151196
58,7,850,RO,F,PAR,38,1.599067442
59,12,650,RO,F,PAR,32,0.162281412
60,6,300,RO,F,PAR,39,1.523482727
61,5,900,RO,F,PAR,49,1.677850056
62,11,1000,RO,F,BRA,34,0.177007179
63,8,970,RO,F,PAR,38,1.799870428
64,12,1000,RO,F,PRE,36,1.704955017
65,7,600,RO,F,BRA,45,1.674563104
66,10,1000,RO,M,PRE,49,1.810539927
67,10,800,RO,F,PRE,44,1.741427298
68,1,0,RO,M,PAR,73,1.799846494
69,6,200,RO,M,BRA,56,1.492688377
70,4,1400,RO,M,PAR,33,0.166788028
71,12,2500,RO,M,BRA,27,1.827358586
72,4,3000,RO,M,BRA,49,1.774589199
73,2,1100,RO,M,PAR,57,1.709833981
74,17,2000,RO,M,PAR,41,0.017085447
75,11,1400,RO,M,BRA,39,1.827305281
76,5,788,RO,M,PAR,23,0.170508676
77,9,1400,RO,M,PAR,39,1.785680605
78,4,1000,RO,M,PRE,35,1.645685159
79,4,600,RO,M,PAR,30,1.754153474
80,4,788,RO,M,PAR,35,1.772827632
81,4,500,RO,M,BRA,36,1.718663746
82,4,1500,RO,M,PAR,37,0.017149494
83,1,1400,RO,M,PRE,60,1.650202938
84,9,600,RO,M,BRA,38,1.727064502
85,9,800,RO,M,BRA,43,1.765924712
86,9,1200,RO,M,BRA,42,1.742593838
87,9,2500,RO,M,BRA,51,0.176866907
88,12,1200,RO,F,PAR,33,1.764367928
89,1,2000,RO,M,BRA,46,1.713904438
90,15,1300,RO,F,PRE,29,1.745392257
91,9,800,RO,M,PAR,40,0.159311812
92,1,550,RO,F,PAR,46,1.591341012
93,6,975,RO,M,BRA,25,1.864178568
94,5,1500,RO,M,PAR,32,1.790890146
95,12,1200,RO,M,BRA,40,0.167198338
96,9,1145,RO,M,PRE,26,1.717498162
97,1,1200,RO,F,PAR,49,1.632010545
98,9,1500,RO,M,PAR,37,1.701369066
99,12,1200,RO,M,PRE,24,1.542187487
100,9,850,RO,F,PAR,40,1.784559772
101,10,1200,RO,M,PAR,39,1.679341936
102,11,900,RO,M,PAR,39,1.772286883
103,2,1200,RO,M,PAR,41,1.669996473
104,9,2500,RO,M,PAR,36,1.661693983
105,11,400,RO,F,PAR,37,1.719933842
106,12,1100,RO,M,PRE,28,1.728302429
107,12,1200,RO,M,BRA,32,1.653043786
108,12,2500,RO,M,PRE,24,1.620771725
109,14,4000,RO,M,BRA,39,1.510171114
110,16,2500,RO,M,BRA,33,1.623599656
111,6,788,RO,F,PAR,49,1.701556571
112,12,2000,RO,M,BRA,37,1.566850054
113,12,788,RO,M,PRE,35,1.570629405
114,9,380,RO,F,PAR,55,1.891911461
115,12,836,RO,M,PAR,24,1.665663657
116,15,1250,RO,M,PAR,34,1.709368199
117,12,1325,RO,M,BRA,27,1.607844631
118,8,1550,RO,M,BRA,50,1.787377877
119,8,1800,RO,M,AME,53,1.608399085
120,1,1500,RO,M,PRE,67,1.763905316
121,12,20000,RO,M,BRA,52,1.635818853
122,5,3000,RO,M,PAR,42,1.738460556
123,1,1600,RO,F,BRA,66,1.826377869
124,4,788,RO,M,BRA,47,1.738136803
125,9,1400,RO,M,PAR,60,0.172215259
126,11,580,RO,M,BRA,29,1.682925706
127,5,1500,RO,M,BRA,55,1.727120107
128,5,1000,RO,M,BRA,55,0.176526822
129,5,100,RO,M,BRA,56,1.731027167
130,9,0,RO,M,BRA,69,1.611123982
131,4,1000,RO,M,BRA,51,1.615538212
132,12,390,RO,F,PAR,25,1.629709329
133,3,788,RO,M,PAR,49,1.726483566
134,4,1800,RO,M,PRE,61,1.538167873
135,1,400,RO,F,PAR,54,1.738933215
136,7,1500,RO,M,PAR,37,1.651192628
137,9,2000,RO,M,BRA,39,1.666723724
138,5,350,RO,M,BRA,52,1.781144172
139,2,1600,RO,M,BRA,48,0.171785355
140,8,1600,RO,M,PAR,40,1.513863366
141,1,1000,RO,M,BRA,73,1.553525857
142,3,788,RO,M,BRA,49,0.172315498
143,16,3000,RO,M,PAR,45,1.743084772
144,5,2000,RO,M,BRA,80,0.166802203
145,12,10000,RO,M,PAR,45,0.017471745
146,16,900,RO,F,PRE,34,1.777475303
147,7,6000,RO,M,BRA,65,1.840835531
148,15,1600,RO,F,BRA,23,1.730926053
149,12,1300,RO,M,BRA,52,1.723572813
150,12,1400,RO,F,PAR,32,1.559549881
151,12,1400,RO,F,PAR,36,1.729987752
152,16,3500,RO,M,BRA,28,1.592238852
153,12,2500,RO,M,BRA,48,1.636973911
154,12,1700,RO,M,PAR,36,1.654289422
155,9,4500,RO,M,BRA,48,1.732583823
156,12,1700,RO,F,BRA,42,1.627887329
157,12,4124,RO,F,BRA,46,1.718625846
158,12,1500,RO,F,PAR,51,0.159485698
159,12,1200,RO,M,PAR,26,1.731993035
160,13,1000,RO,M,PAR,25,1.871046059
161,12,1200,RO,M,PAR,27,1.763705326
162,12,1600,RO,M,PAR,28,1.579531361
163,11,950,RO,F,PAR,37,1.709822149
164,11,1500,RO,M,PAR,26,1.674497651
165,11,1500,RO,M,PAR,27,1.692249071
166,16,4000,RO,M,PAR,41,1.706601775
167,6,900,RO,M,BRA,49,1.772734561
168,16,6000,RO,M,PAR,32,1.727408774
169,1,3000,RO,M,PRE,41,1.778035651
170,16,6000,RO,M,BRA,30,1.735782272
171,12,0,RO,M,BRA,79,1.787522442
172,15,2200,RO,M,PAR,52,1.789394412
173,12,2000,RO,M,BRA,36,1.639359278
174,16,4000,RO,M,PAR,35,1.738335643
175,1,1000,RO,M,PAR,50,1.743165296
176,1,1400,RO,M,PAR,53,1.554162354
177,5,788,RO,F,PAR,32,1.772603355
178,9,788,RO,F,BRA,36,1.677731391
179,9,1700,RO,M,PRE,52,1.684526315
180,1,1000,RO,M,PAR,55,1.727906955
181,16,3000,RO,M,BRA,42,1.720236047
182,5,1500,RO,M,PAR,35,1.679200749
183,6,1100,RO,M,BRA,71,1.739955274
184,1,1000,RO,M,PRE,31,1.758267501
185,12,1100,RO,F,PAR,43,1.717289179
186,9,1200,RO,M,PAR,51,1.660772859
187,9,2580,RO,M,PAR,37,1.649140632
188,17,1900,RO,M,PAR,38,1.707080223
189,16,2150,RO,F,PAR,35,1.679997644
190,12,1800,RO,M,BRA,26,0.173665454
191,6,300,RO,F,PAR,50,1.681007713
192,5,1300,RO,M,PAR,59,1.691254559
193,12,788,RO,M,PAR,25,1.714962843
194,16,2800,RO,F,BRA,42,0.172502471
195,5,1440,RO,M,PAR,41,1.660942452
196,5,850,RO,M,PAR,38,1.711345558
197,16,9000,RO,F,BRA,36,1.724220376
198,15,7800,RO,M,PAR,32,1.729626334
199,5,1200,RO,M,PAR,45,1.614643223
200,11,1500,RO,F,BRA,26,1.656445512
201,12,3000,RO,F,BRA,28,1.668200817
202,6,400,RO,M,PAR,29,1.648669596
203,7,550,RO,F,PAR,30,1.837242863
204,12,1200,RO,F,PAR,36,1.741514536
205,12,1500,RO,M,PAR,25,1.735279131
206,6,1100,RO,M,PAR,26,1.758025719
207,6,900,RO,F,PAR,44,0.161644168
208,12,2300,RO,F,BRA,19,1.804838993
209,16,8000,RO,M,AME,34,1.649053073
210,13,1400,RO,M,PAR,36,1.807143241
211,16,5000,RO,F,PAR,36,1.654739706
212,3,2500,RO,M,BRA,39,0.165973197
213,12,1490,RO,M,PAR,32,1.833820401
214,3,2300,RO,M,PAR,57,1.752300365
215,5,430,RO,F,BRA,28,1.739136095
216,9,400,RO,M,BRA,28,1.636523743
217,12,300,RO,F,PAR,36,1.749389281
218,10,160,RO,M,PAR,46,1.700809575
219,16,900,RO,M,BRA,49,1.594849162
220,4,688,RO,M,PAR,39,1.844883796
221,9,400,RO,M,BRA,49,1.654019078
222,3,1000,RO,M,BRA,55,1.816873908
223,9,0,RO,M,PAR,60,1.715936556
224,9,8000,RO,M,PAR,55,1.837528846
225,16,805,RO,F,BRA,22,1.815143228
226,12,6000,RO,M,PAR,42,1.740019168
227,16,2000,RO,M,BRA,35,1.610327007
228,12,850,RO,M,PAR,38,1.776701002
229,16,5200,RO,M,BRA,29,1.605596826
230,2,789,RO,M,PRE,66,1.710531655
231,1,2000,RO,M,BRA,48,0.160734188
232,16,5000,RO,M,PAR,34,1.671755171
233,12,400,RO,F,PAR,49,1.606770127
234,9,1800,RO,M,BRA,49,1.564118322
235,12,4000,RO,M,BRA,62,1.712222929
236,12,1000,RO,M,PRE,28,1.745179769
237,6,200,RO,F,PAR,32,1.612323235
238,1,250,RO,M,BRA,41,1.811847854
239,3,800,RO,M,PAR,52,1.727525317
240,12,1600,RO,M,PAR,43,1.759334993
241,8,800,RO,M,BRA,39,1.679203572
242,6,1600,RO,M,PAR,37,1.728953956
243,1,1000,RO,M,PAR,67,1.643999861
244,5,2500,RO,M,BRA,54,1.735019871
245,1,250,RO,M,PAR,77,1.791420938
246,4,1000,RO,M,PAR,64,1.715299407
247,1,10000,RO,M,BRA,58,1.722839364
248,3,1200,RO,M,PAR,57,1.804646938
249,13,1200,RO,M,PAR,43,1.778950307
250,5,3000,RO,M,PAR,64,1.705584335
251,7,1200,RO,M,BRA,52,1.733608819
252,1,2500,RO,M,PAR,52,1.753327657
253,15,1000,RO,F,PAR,26,1.817722725
254,12,2700,RO,M,BRA,41,1.706976565
255,16,1300,RO,M,PAR,24,1.772257117
256,6,500,RO,F,PAR,31,0.176083604
257,14,1000,RO,F,BRA,29,1.711327999
258,5,1500,RO,M,PAR,41,0.176445333
259,6,1900,RO,M,PAR,44,1.634594403
260,7,1300,RO,F,BRA,38,1.721233932
261,10,300,RO,F,PAR,62,0.162495925
262,1,788,RO,M,BRA,59,1.784691602
263,3,788,RO,F,BRA,60,1.709539664
264,5,2500,RO,M,BRA,48,1.740528997
265,2,788,RO,M,BRA,56,1.721948047
266,9,1020,RO,F,BRA,32,1.624170747
267,1,600,RO,F,PAR,43,1.610421713
268,12,1920,RO,F,PAR,26,1.715418767
269,5,1500,RO,M,PRE,57,1.730241951
270,1,788,RO,M,PAR,39,1.587156567
271,12,1000,RO,M,BRA,45,1.794884073
272,2,2500,RO,M,PAR,51,1.715059812
273,12,789,RO,M,BRA,34,1.838923596
274,7,830,RO,F,PRE,40,1.631127346
275,12,1000,RO,F,BRA,36,1.530269667
276,7,1800,RO,M,PAR,55,1.755595003
277,8,2300,RO,M,BRA,49,1.835355316
278,12,800,RO,M,PAR,39,1.672349006
279,6,788,RO,F,PAR,39,1.641681806
280,16,1200,RO,F,PRE,38,1.700708687
281,11,230,RO,F,BRA,17,1.840929648
282,16,2364,RO,M,BRA,51,1.617595593
283,7,500,RO,F,BRA,56,1.609445009
284,1,1800,RO,F,PAR,45,1.709539346
285,3,3650,RO,M,BRA,57,1.638209027
286,1,850,RO,M,BRA,69,1.699977664
287,5,0,RO,F,PAR,38,1.726380083
288,9,2000,RO,M,BRA,31,1.533781023
289,1,1500,RO,M,PAR,54,1.793828782
290,5,700,RO,M,BRA,41,1.785477747
291,4,750,RO,M,BRA,43,1.608269896
292,5,800,RO,M,BRA,40,1.698189024
293,1,1200,RO,M,PAR,39,1.664920063
294,4,1400,RO,M,BRA,42,1.729185303
295,1,750,RO,M,PAR,58,1.654449975
296,9,300,RO,F,PAR,23,1.822339604
297,10,788,RO,F,PAR,43,1.530682737
298,6,400,RO,M,PAR,38,1.840644739
299,16,400,RO,M,BRA,38,1.754663691
300,6,788,RO,F,PRE,38,1.698167372
301,1,788,RO,M,PAR,37,1.594890204
302,4,1500,RO,F,PAR,59,1.534158814
303,7,1500,RO,M,PAR,50,1.680383502
304,16,3000,RO,M,BRA,31,0.017207937
305,12,1400,RO,M,PAR,44,1.781007987
306,12,1000,RO,M,PAR,27,1.634692307
307,12,800,RO,F,PAR,36,1.879012232
308,7,800,RO,M,PAR,37,1.730865592
309,12,700,RO,M,PAR,49,1.858994735
310,8,900,RO,M,PAR,55,1.731334193
311,9,788,RO,M,PRE,37,0.181014312
312,12,788,RO,F,PAR,52,1.553276832
313,1,400,RO,F,PAR,38,0.177528698
314,16,2000,RO,F,PAR,66,1.729180189
315,12,3000,RO,M,BRA,63,1.849865103
316,15,300,RO,F,PAR,31,1.770795407
317,12,1300,RO,F,PAR,49,0.179307671
318,6,1200,RO,M,BRA,46,1.720288563
319,8,1500,RO,M,PAR,45,1.776154971
320,10,200,RO,F,PRE,33,0.172527463
321,8,1600,RO,M,PRE,58,1.672713166
322,3,1200,RO,M,PAR,54,1.553054861
323,1,1500,RO,M,PAR,72,1.734895336
324,1,400,RO,M,PAR,70,1.604257134
325,6,350,RO,M,PAR,50,1.739618858
326,5,2400,RO,M,BRA,64,1.745479841
327,5,0,RO,M,PAR,61,1.598207291
328,1,788,RO,M,PAR,53,1.837902771
329,6,800,RO,M,PAR,38,1.651160293
330,1,0,RO,M,PAR,72,1.657999179
331,8,1100,RO,M,BRA,22,1.779518039
332,13,2500,RO,M,BRA,50,0.192579977
333,2,0,RO,M,PAR,49,1.798253592
334,16,2000,RO,M,BRA,41,1.676554676
335,14,3000,RO,M,BRA,31,1.728661239
336,16,5000,RO,M,BRA,44,1.749771342
337,16,3500,RO,M,BRA,41,1.576958875
338,9,3500,RO,M,PAR,42,1.556648626
339,10,800,RO,M,PAR,18,0.169346055
340,5,800,RO,M,PRE,41,1.720577135
341,14,850,RO,F,PAR,23,1.793628846
342,9,850,RO,M,PAR,37,1.685051771
343,17,788,RO,F,BRA,47,1.813393331
344,9,1500,RO,M,PAR,19,1.651605414
345,9,1000,RO,M,PAR,35,1.581273642
346,12,1200,RO,M,PAR,33,1.735513155
347,10,800,RO,F,PAR,34,1.618622823
348,6,2000,RO,M,PAR,36,1.619677459
349,8,1000,RO,F,BRA,38,1.693734834
350,16,2000,RO,F,PAR,33,1.610727425
351,1,800,RO,M,PAR,58,1.600100393
352,9,788,RO,F,PAR,46,1.800521066
353,4,1300,RO,M,PAR,56,1.619059013
354,12,2500,RO,M,PAR,34,1.673185626
355,6,1000,RO,M,PAR,28,1.799869738
356,12,3500,RO,M,PAR,27,1.680026871
357,4,800,RO,M,PAR,28,1.672872093
358,9,788,RO,M,BRA,22,1.747933413
359,9,1500,RO,M,PRE,44,1.717878112
360,9,1600,RO,M,PAR,32,0.172177337
361,8,1700,RO,M,PAR,36,1.845530572
362,7,2000,RO,M,PAR,39,0.173888129
363,16,1000,RO,M,PAR,45,1.836743013
364,9,100,RO,F,PRE,39,1.726598949
365,9,788,RO,F,BRA,21,1.735220523
366,12,1400,RO,M,PAR,26,1.638165938
367,16,1200,RO,M,PAR,44,1.717992835
368,5,1500,RO,M,PAR,40,0.149861126
369,5,1300,RO,M,BRA,57,1.680255885
370,8,600,RO,M,PRE,40,1.651368209
371,6,900,RO,M,PAR,41,1.727758113
372,4,1200,RO,M,BRA,44,1.655147987
373,5,2000,RO,M,PAR,40,0.175275962
374,12,900,RO,M,PAR,44,1.789949139
375,1,2000,RO,M,PAR,51,1.752622471
376,4,900,RO,M,PAR,35,1.673762837
377,1,788,RO,M,PAR,22,1.654788996
378,4,900,RO,M,PAR,44,1.607891899
379,9,1500,RO,M,PAR,31,1.686726382
380,12,788,RO,M,PAR,22,1.567346954
381,16,10000,RO,M,BRA,61,1.618431434
382,10,788,RO,F,PAR,26,1.779590173
383,12,2800,RO,M,PAR,56,1.856666759
384,9,788,RO,M,PAR,53,1.643559757
385,1,788,RO,M,PAR,37,1.754062252
386,11,2000,RO,M,BRA,24,1.701151149
387,12,789,RO,F,BRA,34,1.778533399
388,14,1500,RO,M,PAR,25,1.686974776
389,14,2800,RO,F,BRA,40,1.723082263
390,9,3000,RO,M,PAR,63,1.664390525
391,12,1200,RO,M,PAR,36,1.778775969
392,13,2000,RO,F,PAR,32,1.604770597
393,9,1000,RO,M,BRA,50,1.748451233
394,7,2500,RO,M,PAR,47,1.738575623
395,16,1150,RO,F,PAR,45,1.743459633
396,5,2000,RO,M,BRA,36,1.711175816
397,9,5000,RO,M,BRA,46,1.793000554
398,12,3000,RO,M,BRA,47,1.789784135
399,16,8000,RO,M,BRA,56,1.709297771
400,6,1200,RO,M,PAR,46,1.673878003
401,12,2500,RO,M,PAR,47,1.689472643
402,9,10000,RO,M,PAR,52,1.728276901
403,7,788,RO,F,PAR,23,1.711909504
404,12,2400,RO,M,PRE,38,1.779836869
405,9,3000,RO,M,BRA,52,1.639235512
406,16,1900,RO,M,PAR,29,1.802592345
407,16,7500,RO,M,PAR,40,1.736740461
408,12,3310,RO,M,PAR,58,1.724049175
409,5,900,RO,M,PAR,28,1.584638218
410,1,800,RO,M,PAR,52,1.732961146
411,6,3500,RO,M,PAR,38,0.016859077
412,12,1000,RO,M,PAR,22,1.684574172
413,5,8500,RO,M,BRA,49,1.711913319
414,5,250,RO,F,PAR,59,1.580498823
415,2,950,RO,M,BRA,42,1.727489959
416,4,1300,RO,M,PAR,40,1.830929004
417,9,1500,RO,M,PAR,20,1.661791496
418,16,2000,RO,F,PAR,58,1.777485465
419,12,7000,RO,M,PAR,51,0.165469875
420,12,6000,RO,M,PAR,62,1.774268264
421,12,3400,RO,M,BRA,36,1.741173403
422,12,788,RO,F,BRA,46,1.653608061
423,12,1200,RO,M,PAR,54,1.743742384
424,12,780,RO,F,PAR,51,1.727718085
425,12,788,RO,M,BRA,37,1.733625776
426,11,2000,RO,M,PAR,22,1.745545114
427,7,1400,RO,M,PAR,21,1.671334076
428,16,1800,RO,M,PAR,47,1.574972387
429,6,900,RO,F,PAR,38,1.684613226
430,1,1182,RO,M,BRA,69,1.683305087
431,1,600,RO,M,PAR,68,1.733743937
432,16,4200,RO,M,PAR,57,1.724617047
433,12,788,RO,F,PRE,36,1.630642529
434,13,150,RO,F,PAR,47,0.149652401
435,13,4000,RO,M,BRA,59,1.819988588
436,16,7000,RO,M,PAR,53,1.788792734
437,16,1700,RO,F,BRA,46,0.163075336
438,9,80,RO,F,BRA,59,1.840218073
439,12,800,RO,M,PAR,44,1.637466793
440,12,1000,RO,M,PAR,29,1.847668727
441,6,2000,RO,F,PAR,50,1.740231338
442,5,788,RO,F,PRE,54,1.582048118
443,5,870,RO,F,PAR,47,1.633458627
444,7,1200,RO,M,PAR,33,1.661903251
445,1,200,RO,M,PAR,63,0.174140719
446,11,1100,RO,F,PAR,37,1.796194806
447,5,1000,RO,M,PRE,61,1.817428265
448,9,2000,RO,M,BRA,42,1.669562863
449,10,200,RO,F,PAR,34,1.697745534
450,16,4300,RO,M,PRE,37,1.758374665
451,12,2000,RO,M,BRA,39,1.574776992
452,4,1200,RO,M,PAR,36,1.674280747
453,2,1070,RO,M,PAR,56,1.628137374
454,6,1000,RO,M,BRA,59,1.831915196
455,9,800,RO,M,BRA,46,1.783098992
456,16,5000,RO,M,BRA,48,1.749381315
457,1,350,RO,M,PAR,59,1.693126416
458,8,500,RO,M,PAR,20,1.722843495
459,10,500,RO,M,PAR,41,1.691885531
460,1,1100,RO,M,BRA,61,1.846371672
461,12,1200,RO,M,BRA,27,0.170121296
462,4,788,RO,F,PAR,50,1.652795699
463,3,1000,RO,M,BRA,74,1.576525886
464,9,400,RO,F,PAR,59,0.148963102
465,4,788,RO,M,PAR,36,1.759130275
466,5,150,RO,M,PRE,57,0.154189054
467,9,3000,RO,M,BRA,34,1.661599897
468,12,1300,RO,M,PAR,40,1.767950664
469,5,200,RO,M,PAR,52,1.752975967
470,11,788,RO,M,PAR,29,1.794573155
471,2,250,RO,F,PRE,59,1.664267692
472,12,1000,RO,M,PAR,43,0.171799009
473,6,788,RO,M,PAR,43,1.686677201
474,9,788,RO,F,PAR,39,1.662565011
475,12,2000,RO,M,BRA,38,1.803529273
476,1,600,RO,F,PRE,27,1.632839736
477,12,600,RO,M,BRA,36,1.608022778
478,8,4500,RO,M,PAR,56,1.757959655
479,12,1000,RO,M,PRE,34,1.797798255
480,3,788,RO,M,PAR,61,1.802870341
481,9,1400,RO,M,BRA,32,1.822337228
482,6,500,RO,F,BRA,53,1.794157648
483,12,0,RO,M,PRE,59,0.171723851
484,8,350,RO,M,PAR,57,1.797763391
485,12,920,RO,M,PAR,38,1.740909945
486,16,2400,RO,F,BRA,35,0.160081945
487,6,800,RO,F,BRA,40,1.774058089
488,5,4800,RO,M,PAR,34,1.756893984
489,12,3000,RO,M,PAR,31,1.650361065
490,9,1200,RO,M,BRA,34,1.739312464
491,11,1500,RO,M,PAR,34,1.516083715
492,8,2500,RO,M,BRA,22,1.595411434
493,12,1500,RO,M,BRA,64,1.765973824
494,16,1500,RO,M,BRA,53,1.725466892
495,12,1500,RO,M,BRA,36,1.801506807
496,9,1000,RO,M,BRA,29,1.544522834
497,2,2000,RO,M,BRA,49,0.017441112
498,9,1300,RO,M,PAR,35,1.757073127
499,12,1200,RO,M,PAR,21,1.628301491
500,5,1400,RO,F,PAR,30,1.643452224
501,5,1000,RO,M,PAR,52,1.824898197
502,5,1500,RO,M,BRA,37,1.735052943
503,10,1000,RO,F,PAR,57,1.742390154
504,15,2500,RO,M,PAR,31,1.659751587
505,5,200,RO,M,PAR,58,1.700024429
506,7,1270,RO,M,PAR,34,1.654674812
507,4,788,RO,M,PAR,49,1.638713738
508,13,1200,RO,F,BRA,31,1.802602651
509,9,1500,RO,F,PAR,38,1.723881965
510,11,45000,RO,M,PAR,27,1.711432277
511,12,1200,RO,M,PAR,38,1.470500966
512,9,1100,RO,M,PAR,48,1.659497716
513,9,150,RO,M,PAR,44,1.660081705
514,4,500,RO,M,BRA,54,1.708818446
515,2,1500,RO,M,PAR,60,1.629835718
516,7,1200,RO,M,BRA,20,1.841180046
517,5,1500,RO,M,BRA,39,1.673606441
518,9,2600,RO,M,PRE,51,1.677800592
519,12,3500,RO,M,PAR,42,1.632194458
520,16,2400,RO,M,BRA,29,0.171899259
521,1,100,RO,M,PAR,58,0.173507318
522,7,750,RO,M,PAR,35,1.793295734
523,5,900,RO,M,BRA,34,1.643410333
524,1,5000,RO,M,BRA,65,1.591437177
525,1,1500,RO,M,PAR,58,1.729774165
526,11,1000,RO,M,PAR,46,1.795602005
527,9,5000,RO,M,BRA,48,1.878888606
528,5,1400,RO,M,BRA,57,1.633582728
529,1,900,RO,M,PAR,33,1.835061062
530,4,1500,RO,M,PAR,43,1.647803708
531,12,1200,RO,M,BRA,43,1.600814618
532,1,788,RO,M,PAR,52,1.632018283
533,6,788,RO,M,PAR,25,1.818162348
534,5,2000,RO,M,BRA,50,1.938219796
535,9,2000,RO,M,PAR,54,1.689681081
536,12,2000,RO,M,PAR,50,1.721098092
537,1,1200,RO,M,BRA,46,0.180760251
538,9,2000,RO,F,BRA,41,1.642779839
539,9,788,RO,F,PAR,44,1.768451647
540,5,1290,RO,M,PAR,46,1.787446875
541,9,1500,RO,M,PAR,34,1.687085031
542,16,1200,RO,M,PAR,38,1.779971788
543,12,2500,RO,M,PAR,39,1.790373592
544,5,1800,RO,M,PAR,51,0.163438931
545,5,1000,RO,F,PAR,56,1.771446912
546,11,2500,RO,M,PRE,55,1.659927923
547,12,1700,RO,M,PAR,25,1.732264604
548,16,2790,RO,F,BRA,45,1.736428899
549,12,4500,RO,M,BRA,50,1.716311954
550,9,300,RO,F,PAR,45,0.167693427
551,10,5000,RO,M,PAR,33,1.554324044
552,9,800,RO,F,BRA,44,1.700327481
553,12,900,RO,F,PAR,31,1.769213266
554,6,788,RO,M,PAR,28,1.716753566
555,12,788,RO,F,PAR,44,1.685663101
556,14,2500,RO,M,PAR,43,1.630635256
557,1,788,RO,F,PAR,63,1.744265847
558,5,788,RO,M,PAR,43,1.724572016
559,16,3000,RO,F,PRE,32,1.638588786
560,12,3800,RO,M,PAR,41,1.645344266
561,3,1250,RO,M,PAR,38,1.674346134
562,2,7000,RO,M,BRA,51,1.651326889
563,5,788,RO,M,BRA,51,1.829220181
564,13,600,RO,M,PAR,53,1.744919126
565,9,1800,RO,M,BRA,70,1.726928865
566,9,1400,RO,M,PAR,35,1.753004118
567,6,800,RO,M,PAR,24,1.666092391
568,3,788,RO,M,PAR,24,1.701570601
569,5,1300,RO,M,PAR,31,1.759899141
570,5,788,RO,M,PAR,37,1.738154498
571,11,788,RO,M,PAR,29,1.719857234
572,14,9166,RO,M,PAR,37,1.590401776
573,5,800,RO,M,PAR,60,1.601185216
574,9,1800,RO,M,PAR,41,1.736646997
575,5,2000,RO,M,PAR,53,1.764600898
576,16,1200,RO,M,PRE,28,1.601647796
577,6,830,RO,F,PRE,46,1.735162704
578,4,1500,RO,M,PRE,53,1.652838949
579,7,1500,RO,M,PAR,51,1.717794781
580,12,1500,RO,M,PRE,36,1.595072521
581,12,1200,RO,F,PAR,40,1.802349896
582,9,2000,RO,M,BRA,45,1.734871203
583,12,2930,RO,M,PAR,31,1.727978431
584,12,4000,RO,M,BRA,53,1.738939197
585,12,788,RO,F,PAR,36,1.599621457
586,12,2000,RO,F,BRA,36,0.171741644
587,16,3000,RO,F,PAR,25,1.690922841
588,7,1024,RO,M,BRA,57,1.872197277
